bottle,structure,bottle.number,replicate,vol.bottle.b4filter,avg.chlorophyll,pH,temp.fahr.rate.of.resp.,rate.of.resp,ppm.ammonia,ppm.nitrite,ppm.nitrate,SPC,cond.,DO.percent,DO,temp.,filterpaper.weight,driedsolid.weight,bac.density,tot.bac.per.bottle,connectivity,position,bottle.color,total.num.tubes,num.tubes.red,num.tubes.not.red,percent.red
D10C,dendritic,10,C,20.5,159.95,7.94,68.2,0.13022,0,0.25,2.5,339.4,310,96.2,8.67,20.5,0.5562,0.5688,305000,10827500,1,D,4,1,1,0,1
D11C,dendritic,11,C,23,225.15,7.84,68.2,0.084612,0,0.25,2.5,363.3,334.1,99,8.86,20.8,0.5339,0.5502,340000,12920000,1,D,4,1,0,1,0
D12C,dendritic,12,C,22.5,159.05,7.88,68.2,0.018252,0,0,40,387.3,357.1,108,9.64,20.9,0.5596,0.5639,282500,10593750,1,D,5,1,1,0,1
D13C,dendritic,13,C,17.5,190.55,7.78,68.2,0.0653,0,0,10,333.2,306.8,102,9.12,20.9,0.5359,0.5541,391250,12715625,1,D,4,1,1,0,1
D14C,dendritic,14,C,29,217.65,7.71,68.2,0.23269,0,0,2.5,439.6,396.8,134.7,12.25,19.9,0.5589,0.5821,590000,25960000,1,D,5,1,0,1,0
D15C,dendritic,15,C,17,200.3,7.66,68.2,0.23461,0,0,0,325.7,296,170.7,15.43,20.2,0.5321,0.5414,457500,14640000,1,D,4,1,1,0,1
D1D,dendritic,1,D,26,279.6,8.22,68.9,0.28901,0,0.25,0,434.8,398.4,91.7,8.22,20.6,0.5363,0.5808,465000,19065000,2,A,7,2,2,0,1
D2D,dendritic,2,D,23,393.4,8.01,68.9,0.24286,0,0.25,0,380.7,348.2,87.1,7.84,20.5,0.5673,0.6,778750,29592500,3,B,7,3,2,1,0.666666667
D3D,dendritic,3,D,27,314.4,7.96,68.9,0.29542,0,0,10,422.7,388.2,83.5,7.41,20.7,0.536,0.597,605000,25410000,3,B,7,3,2,1,0.666666667
D4D,dendritic,4,D,25,486.8,7.85,68.9,0.30237,0,0,2.5,393.6,363,79.2,7.08,20.9,0.5519,0.636,640000,25600000,3,C,7,3,2,1,0.666666667
D5D,dendritic,5,D,22.5,322.45,7.84,68.9,0.058978,0,0,40,386.5,355.1,87.7,7.76,20.7,0.5242,0.5686,550000,20625000,3,C,7,3,2,1,0.666666667
D6D,dendritic,6,D,21,196.2,7.99,68.9,0.14205,0.25,0,0,373.4,343.5,90,80.05,20.8,0.5267,0.6098,381250,13725000,3,C,7,3,0,3,0
D7D,dendritic,7,D,27,471.1,7.91,68.9,0.28977,1,0,5,426.9,391.9,81.6,7.31,20.7,0.5569,0.6795,248750,10447500,3,C,7,3,2,1,0.666666667
D8D,dendritic,8,D,23.5,340.1,7.86,68.9,0.19676,0.5,0,30,371.9,345.8,80.2,7.11,21.3,0.5335,0.6145,282500,10876250,1,D,7,1,0,1,0
D9D,dendritic,9,D,24,340.25,7.82,68.9,0.26024,0,0.25,2.5,386.7,357.2,85.5,7.62,21,0.5388,0.5787,302500,11797500,1,D,6,1,1,0,1
D10D,dendritic,10,D,28,238.3,7.86,68.9,0.18759,0,0.25,0,445.1,410.3,88.2,7.82,20.9,0.5271,0.5616,672500,28917500,1,D,6.5,1,1,0,1
D11D,dendritic,11,D,27.5,375.5,7.91,68.9,0.17355,0,0,40,428.8,396.9,83.5,7.43,21.1,0.5594,0.6004,568750,24171875,1,D,6,1,1,0,1
D12D,dendritic,12,D,34,210.85,7.97,68.9,0.10197,0.25,0,20,491.2,453.2,82.2,7.34,20.9,0.5566,0.5947,650000,31850000,1,D,6.5,1,0,1,0
D13D,dendritic,13,D,30,319.2,8,68.9,0.22827,0.25,0,0,395.4,366.7,85.2,7.67,21.2,0.5242,0.5606,383750,17268750,1,D,7,1,0,1,0
D14D,dendritic,14,D,24.5,315.25,7.95,68.9,0.2406,0,0,40,426.2,388.3,91.7,8.27,20.4,0.5348,0.5812,767500,30316250,1,D,7,1,0,1,0
D15D,dendritic,15,D,25,287.25,8.01,68.9,0.29374,0,0,5,462.9,425.3,93.3,8.38,20.7,0.5563,0.6073,637500,25500000,1,D,7,1,1,0,1
L1A,lattice,1,A,45,229.8,8.1,70.9,0.19143,0,0.25,10,554,514,127.3,11.28,21.2,0.5201,0.5906,793750,47625000,2,E,6.5,2,2,0,1
L2A,lattice,2,A,26.5,251.75,8.13,70.9,0.28147,0,0.25,0,392.9,357.4,123,10.85,21.6,0.5451,0.5962,437500,18156250,3,F,5.5,3,1,2,0.333333333
L3A,lattice,3,A,25,269.2,8.12,70.9,0.70435,0,0.25,5,396,370.2,118.3,10.4,21.6,0.518,0.5467,415000,16600000,3,F,5,3,1,2,0.333333333
L4A,lattice,4,A,24,282.6,8.13,70.9,0.16731,0.25,0,40,354.1,328.1,137.3,12.21,21.2,0.5566,0.5843,363750,14186250,3,F,6,3,2,1,0.666666667
L5A,lattice,5,A,31,183.5,7.99,70.9,0.10011,0,0.25,10,437.6,407.8,134.6,11.88,21.5,0.5412,0.555,305000,14030000,2,E,5,2,1,1,0.5
L6A,lattice,6,A,39,181.05,8.11,70.9,-0.097964,0,0,30,512.9,476.5,124,11,21.3,0.5377,0.5999,422500,22815000,3,F,6,3,2,1,0.666666667
L7A,lattice,7,A,35,226.1,8.15,70.9,0.031999,0.25,0,20,454.3,424.1,117.5,10.36,21.5,0.5592,0.6387,815000,40750000,4,G,6,4,1,3,0.25
L8A,lattice,8,A,25,290.45,8.12,70.9,0.14422,0,0,0,394.1,367.1,132,11.67,21.4,0.561,0.5967,390000,15600000,4,G,7,4,1,3,0.25
L9A,lattice,9,A,28,294.5,8.07,70.9,-0.015351,0,0,40,395.1,369,130.3,11.5,21.6,0.5596,0.6129,513750,22091250,4,G,6,4,1,3,0.25
L10A,lattice,10,A,35,365.15,8.05,70.9,0.18329,0,0,20,409.8,381.8,129.1,11.4,21.4,0.5583,0.6459,855000,42750000,3,F,7,3,0,3,0
L11A,lattice,11,A,33,178.6,8.1,70.9,0.12255,0,0,5,460.1,426,127.4,11.31,21.1,0.5696,0.6074,123750,5940000,2,E,4,2,0,2,0
L12A,lattice,12,A,26,185.3,8.14,70.9,0.088224,0,0.25,5,405.1,379.9,126.2,11.09,21.8,0.5207,0.5549,97500,3997500,3,F,4,3,1,2,0.333333333
L13A,lattice,13,A,28.5,439.35,8.14,70.9,0.32231,0.25,0,10,392.5,362.7,134.1,11.95,21,0.538,0.6025,686250,29851875,3,F,5,3,2,1,0.666666667
L14A,lattice,14,A,33,301.5,8.07,70.9,0.060237,0.25,0,10,448.4,418.8,127.1,11.22,21.6,0.5315,0.5704,1120031.619,53761517.7,3,F,5,3,2,1,0.666666667
L15A,lattice,15,A,29,294.55,8.03,70.9,0.2836,0,0.25,5,403.5,375.7,125.8,11.11,21.4,0.5351,0.5659,371250,16335000,2,E,5,2,1,1,0.5
L1B,lattice,1,B,22,395.75,8.31,70.5,0.36885,0.25,0.25,0,336.6,312.2,145.5,12.93,21.2,0.5712,0.6036,123750,4578750,2,E,4,2,0,2,0
L2B,lattice,2,B,23.5,484.15,8.27,70.5,0.21141,0.5,0,10,341.7,315.9,132.7,11.82,21.1,0.5591,0.6477,162500,6256250,3,F,7,3,1,2,0.333333333
L3B,lattice,3,B,23.5,337.5,8.21,70.5,0.089051,0,0.25,0,372.8,342.2,127.2,11.41,20.7,0.569,0.6021,158750,6111875,3,F,6.5,3,1,2,0.333333333
L4B,lattice,4,B,20.5,266.3,8.18,70.5,0.23237,0,0.25,2.5,369.8,339.4,122,10.87,20.7,0.559,0.5814,418750,14865625,3,F,3.5,3,3,0,1
L5B,lattice,5,B,23,390.3,8.23,70.5,-0.015493,0.25,0.25,10,398,362.4,130.8,11.82,20.3,0.5484,0.5731,1110000,42180000,2,E,5,2,1,1,0.5
L6B,lattice,6,B,21.5,247.8,8.22,70.5,-0.017246,0.5,0,40,345.8,322.2,138.7,12.27,21.4,0.5626,0.6177,612500,22356250,3,F,6.5,3,1,2,0.333333333
L7B,lattice,7,B,20,238.05,8.09,70.5,0.21653,0,0.25,30,333.2,305.9,138.8,12.42,20.7,0.5555,0.5888,73750,2581250,4,G,5,4,3,1,0.75
L8B,lattice,8,B,15,186.4,8.08,70.5,0.023377,0,0,0,364.2,332,127,11.47,20.3,0.55642,0.6001,155000,4650000,4,G,5,4,0,4,0
L9B,lattice,9,B,21.5,249.9,8.05,70.5,0.10807,0,0,80,385.5,352.4,126,11.36,20.5,0.5206,0.5625,352500,12866250,4,G,4,4,1,3,0.25
L10B,lattice,10,B,24.5,154.45,8.02,70.5,0.32508,0,0,10,402.4,366.2,131.6,11.88,20.3,0.5323,0.5704,345000,13627500,3,F,5,3,0,3,0
L11B,lattice,11,B,22,315.95,8.18,70.5,0.25358,0.25,0.25,10,333.5,310,139.4,12.35,21.3,0.5699,0.6061,310000,11470000,2,E,4,2,1,1,0.5
L12B,lattice,12,B,23,165.85,8.14,70.5,0.18462,0.25,0.25,0,361,333,127.1,11.35,20.9,0.5689,0.6121,278750,10592500,3,F,6,3,2,1,0.666666667
L13B,lattice,13,B,23,330.25,8.16,70.5,0.49688,0.25,0,2.5,368.7,336.2,129.7,11.7,20.4,0.5569,0.5925,1052500,39995000,3,F,6.5,3,0,3,0
L14B,lattice,14,B,25.5,240.1,8.12,70.5,0.26617,0,0.25,30,409.5,373.6,128.3,11.6,20.4,0.5368,0.5645,333750,13516875,3,F,5,3,1,2,0.333333333
L15B,lattice,15,B,24,285.2,8.09,70.5,0.2653,0,0,2.5,399.8,363,138,12.5,20.2,0.5587,0.5757,876250,34173750,2,E,5,2,1,1,0.5
L1C,lattice,1,C,26.5,489.25,8.1,70.9,0.24646,0.5,0.25,0,395.2,367.2,195.4,17.31,21.3,0.558,0.6034,875000,36312500,2,E,6,2,2,0,1
L2C,lattice,2,C,26.5,357.7,8.12,70.9,0.22885,0.25,0.25,10,406.4,382.1,194.7,17.05,21.9,0.5728,0.6002,447500,18571250,3,F,7,3,2,1,0.666666667
L3C,lattice,3,C,24,234.5,8.15,70.9,0.067612,0.25,0.25,10,387.4,364,187.4,16.44,21.9,0.5563,0.5947,368750,14381250,3,F,6,3,1,2,0.333333333
L4C,lattice,4,C,26,307.75,8.14,70.9,0.2424,0.5,0.25,10,396.7,370.8,170.4,15.02,21.6,0.5651,0.5926,476250,19526250,3,F,5,3,2,1,0.666666667
L5C,lattice,5,C,20,307.7,8.14,70.9,0.092528,0.25,0.25,2.5,363.6,339.1,168.3,14.85,21.5,0.5671,0.5937,310000,10850000,2,E,6.5,2,0,2,0
L6C,lattice,6,C,25.5,368.25,8.1,70.9,0.38627,0.5,0.5,20,371.6,347.6,190.7,16.72,21.6,0.568,0.8236,600000,24300000,3,F,7,3,1,2,0.333333333
L7C,lattice,7,C,23,175.75,8.08,70.9,0.15916,0,0,5,381.3,355.7,193.9,17.12,21.5,0.5791,0.6076,642500,24415000,4,G,5,4,3,1,0.75
L8C,lattice,8,C,26,465.65,8.15,70.9,0.22832,1,0,5,373,350.9,184.3,16.12,21.9,0.5578,0.6132,595000,24395000,4,G,7,4,2,2,0.5
L9C,lattice,9,C,22.5,350.35,8.12,70.9,0.13443,0,0,30,372.4,347.4,158.8,14.02,21.5,0.5678,0.5846,906250,33984375,4,G,6,4,2,2,0.5
L10C,lattice,10,C,22.5,358.9,8.14,70.9,0.61823,0.25,0,10,369.9,345.3,158.4,13.98,21.5,0.5689,0.6083,745000,27937500,3,F,6,3,1,2,0.333333333
L11C,lattice,11,C,25,328.7,8.04,70.9,0.18749,0,0.25,0,387.4,365.5,185,16.16,22,0.5602,0.6099,850000,34000000,2,E,6,2,1,1,0.5
L12C,lattice,12,C,22.5,206.95,8.05,70.9,0.24839,0,0.5,0,388.9,360.3,184,16.36,21.2,0.5469,0.5823,667500,25031250,3,F,5,3,3,0,1
L13C,lattice,13,C,24.5,171.25,8.06,70.9,0.82922,0,0.25,0,391.3,364.9,174.5,15.42,21.5,0.5685,0.597,722500,28538750,3,F,5,3,3,0,1
L14C,lattice,14,C,24,338.65,8.13,70.9,0.27245,0,0.25,2.5,385.4,359.4,150.1,13.26,21.5,0.55444,0.5845,480000,18720000,3,F,6.5,3,2,1,0.666666667
L15C,lattice,15,C,23,304.2,8.11,70.9,0.63195,0,0.25,0,371.9,346,154.8,13.68,21.3,0.5829,0.5999,956250,36337500,2,E,5,2,2,0,1
L1D,lattice,1,D,33,230.35,8,68,0.53695,0.25,0.25,0,449.1,416.5,90.9,8.08,21.3,0.5577,0.5893,702500,33720000,2,E,5,2,0,2,0
L2D,lattice,2,D,34,291.75,7.98,68,0.1913,0,0,10,453.2,416.7,104.3,9.31,20.8,0.5567,0.5951,855000,41895000,3,F,5.5,3,2,1,0.666666667
L3D,lattice,3,D,32,190,8.06,68,0.52135,0.25,0,2.5,418.3,386.6,80.4,7.12,21,0.562,0.6691,741250,34838750,3,F,7,3,1,2,0.333333333
L4D,lattice,4,D,30,523.85,8.1,68,0.14569,1,0,5,417.9,389.2,78,6.9,21.4,0.532,0.6362,1037500,46687500,3,F,7,3,1,2,0.333333333
L5D,lattice,5,D,25,212.65,8.1,68,0.1868,0,0.25,5,400.5,370.7,110.9,9.86,21.1,0.5593,0.6043,938750,37550000,2,E,5,2,0,2,0
L6D,lattice,6,D,29,320.2,8.04,68,-0.023926,0.5,0,0,409.4,379,85,7.57,21.1,0.5184,0.5496,623750,27445000,3,F,5,3,0,3,0
L7D,lattice,7,D,29,395.1,8.01,68,0.059401,0.5,0.25,0,420.5,387.5,81,7.25,20.9,0.5548,0.5758,978750,43065000,4,G,4,4,3,1,0.75
L8D,lattice,8,D,29,305.55,8.03,68,0.27085,0.25,0,0,416.6,383.5,86,7.69,20.9,0.5272,0.5673,675000,29700000,4,G,4,4,2,2,0.5
L9D,lattice,9,D,23,315.8,8.02,68,0.050102,0.25,0,20,381.5,357.2,87.9,7.74,21.7,0.5521,0.5965,777500,29545000,4,G,5,4,2,2,0.5
L10D,lattice,10,D,30.5,551.75,8.16,68,0.36664,0,0,5,420.6,388,87.3,7.79,20.9,0.5351,0.6185,868750,39528125,3,F,7,3,0,3,0
L11D,lattice,11,D,29,319.2,8.01,68,-0.031548,0,0,2.5,424.4,390.5,85,7.64,20.8,0.5326,0.5591,506250,22275000,2,E,4,2,0,2,0
L12D,lattice,12,D,33,277,8,68,0.056017,2,0.25,2.5,445,410.5,78.9,7,21,0.5579,0.5821,515788.875,24757866,3,F,4,3,2,1,0.666666667
L13D,lattice,13,D,33,409.85,8.03,68,0.3627,0.5,0,2.5,440.5,404.1,81.5,7.31,20.7,0.5355,0.5953,556250,26700000,3,F,6,3,2,1,0.666666667
L14D,lattice,14,D,30,296.1,8.03,68,-0.0022385,0.25,0,5,427.6,398.5,85.1,7.53,21.4,0.5545,0.5851,1060553.563,47724910.31,3,F,4,3,2,1,0.666666667
L15D,lattice,15,D,29,365.5,8.12,68,0.37049,0.5,0,5,430.2,398.9,86.4,7.65,21.2,0.5558,0.59,711250,31295000,2,E,4.5,2,1,1,0.5
High1,control,1,A,NA,174.73,8.89,NA,0.53857,2,0,5,NA,857,54,4.55,21.2,NA,NA,362500000,18125000000,0,H,6,0,NA,NA,NA
High2,control,1,B,NA,196.93,8.82,NA,0.4577,4,0,5,NA,874,46,4.15,21.2,NA,NA,463000000,23150000000,0,H,6,0,NA,NA,NA
High3,control,1,C,NA,156.87,8.87,NA,0.47557,4,0,5,NA,798,44.2,4.02,21.2,NA,NA,364500000,18225000000,0,H,6.5,0,NA,NA,NA
High4,control,1,D,NA,179.63,8.82,NA,0.46489,4,0,5,NA,489,51,4.53,21.3,NA,NA,438000000,21900000000,0,H,6.5,0,NA,NA,NA
High5,control,1,E,NA,193.63,8.89,NA,0.41118,4,0.25,5,NA,476.8,45.6,4.03,21.3,NA,NA,385000000,19250000000,0,H,6,0,NA,NA,NA
High6,control,1,F,NA,184.9,8.85,NA,0.57663,4,0,5,NA,478.5,43.9,3.9,21.2,NA,NA,483500000,24175000000,0,H,5.5,0,NA,NA,NA
High7,control,1,G,NA,185.3,8.9,NA,0.40426,4,0,5,NA,456.5,41.4,3.68,21.3,NA,NA,454500000,22725000000,0,H,6,0,NA,NA,NA
High8,control,1,H,NA,213.33,8.74,NA,0.46377,4,0,5,NA,485,55.2,4.89,21.4,NA,NA,291000000,14550000000,0,H,6,0,NA,NA,NA
